Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,0,0,0,0,0,0,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,0,0,0,0,0,0,-0.0205314,1.483008,-0.1796905,348.2564,357.0975,4.491129,-0.09488089,1.408874,-0.1795063,55.46305,41.54181,120.1882,0.05370848,1.418583,-0.1704463,60.19918,320.6815,238.3899,-0.2686696,0.8981593,-0.08714239,357.0437,110.5205,165.3499,0.2546417,0.9131216,-0.1007103,0.8457627,244.9657,192.6864,-0.2685773,1.127376,-0.1355485,4.489955,111.7197,168.9417,0.2415973,1.142461,-0.1465785,7.206033,248.4255,189.3008,-0.09711672,0.1190629,0.2348966,285.3864,334.5497,189.5958,0.1345241,0.1270429,0.2214265,284.4694,2.047641,182.0469,-0.1024059,0.4976945,0.1911018,353.4691,356.1862,181.2312,0.1378432,0.5040617,0.1636313,351.319,2.801566,179.0777,-0.08933091,0.8936921,0.06842661,342.7387,358.0708,178.7653,0.1136033,0.9070635,0.06949693,346.6147,5.037704,182.1953
3,0.0003720182,-0.0001515952,0.0009861166,0,359.5384,0,-0.01890533,1.482654,-0.1794005,349.1041,356.8053,4.392092,-0.09326725,1.408532,-0.179758,55.51415,40.87817,120.1612,0.0552502,1.418231,-0.1695779,60.1619,320.2652,238.4132,-0.2681279,0.8984315,-0.08463507,357.2974,110.4379,164.87,0.2564366,0.9127293,-0.09974942,0.8552675,244.558,192.5023,-0.2676598,1.127183,-0.1351923,4.753081,111.5676,168.4653,0.2433674,1.142178,-0.1450581,7.226094,247.9972,189.116,-0.09854534,0.1191563,0.2346715,285.4081,334.9733,189.1315,0.1331037,0.1267885,0.2205255,284.7698,2.278562,181.7278,-0.103057,0.4980819,0.1934049,353.8448,356.1053,181.0979,0.1364374,0.5047203,0.1690377,352.2513,0.9532993,179.3706,-0.08923359,0.8932737,0.06823866,342.3677,357.7812,178.7612,0.1136766,0.9068156,0.07074888,346.1237,2.956159,182.4417
4,0.0008206446,-0.0002718821,0.002324052,0,358.8972,0,-0.01663624,1.482282,-0.1788911,350.2823,356.3971,4.249585,-0.09102268,1.408189,-0.18,55.60178,39.95003,120.1254,0.05738322,1.417844,-0.1682692,60.11203,319.6675,238.4203,-0.2673344,0.8991111,-0.08061638,357.6619,110.3624,164.1294,0.2590549,0.9123089,-0.09794284,0.9020782,243.9913,192.278,-0.2664286,1.127114,-0.1344455,5.132449,111.3935,167.7294,0.2458704,1.141869,-0.1426518,7.286041,247.4049,188.8929,-0.1005707,0.1195144,0.2342414,285.4905,335.4743,188.559,0.1312739,0.1265216,0.2192792,285.1356,2.415339,181.4856,-0.1040081,0.4988768,0.1970914,354.457,355.9627,180.9085,0.1338125,0.505367,0.174959,353.3205,358.687,179.7713,-0.08911397,0.8927628,0.06799389,341.7812,357.3606,178.7659,0.113744,0.9065657,0.07250834,345.6596,0.3328895,182.6923
5,0.001102954,-0.0002956765,0.003146091,0,358.4844,0,-0.01514044,1.482117,-0.1785112,351.0427,356.1329,4.152845,-0.0895484,1.408052,-0.1801054,55.66827,39.34313,120.097,0.0587785,1.417659,-0.1673779,60.08136,319.2782,238.4167,-0.2667386,0.8997546,-0.07768182,357.9044,110.3411,163.6069,0.2607917,0.9121144,-0.09655344,0.9448676,243.6114,192.1482,-0.2656087,1.127206,-0.1337923,5.385011,111.3059,167.2095,0.2475178,1.141728,-0.1409586,7.336603,247.0098,188.7647,-0.1018511,0.1198442,0.2339057,285.5491,335.796,188.1786,0.1300179,0.1263809,0.2185919,285.3284,2.524831,181.3139,-0.1045746,0.4994708,0.1994969,354.8634,355.8909,180.7789,0.1318957,0.5056306,0.1778406,353.8605,357.4274,179.993,-0.08902519,0.892487,0.06785103,341.4005,357.1185,178.7688,0.1137872,0.9064758,0.07365602,345.4828,358.8327,182.7967
6,0.001373073,-0.0002802102,0.003894896,0,358.0887,0,-0.01369852,1.482018,-0.1781144,351.7737,355.8784,4.055359,-0.08813195,1.407988,-0.1801762,55.7356,38.75903,120.0686,0.06011391,1.417532,-0.1664933,60.05324,318.9076,238.4133,-0.2660456,0.9005222,-0.07459053,358.1375,110.3446,163.0707,0.2624373,0.9119864,-0.09510293,0.9888031,243.2248,192.0305,-0.2647712,1.127389,-0.1330145,5.627963,111.2429,166.6753,0.2490918,1.141645,-0.1392549,7.387695,246.6091,188.6488,-0.1030739,0.1201876,0.2335559,285.5922,336.0936,187.8221,0.1288029,0.1262656,0.2180676,285.4786,2.60386,181.1703,-0.1050554,0.5000353,0.201624,355.2285,355.8682,180.6429,0.1300651,0.505794,0.1799745,354.2679,356.3687,180.1732,-0.08895173,0.8922701,0.06773325,341.065,356.9395,178.766,0.1138081,0.906453,0.07477285,345.3937,357.5506,182.8674
7,0.001648687,-0.0002286139,0.004592747,0,357.6948,0,-0.01226505,1.481975,-0.1776949,352.5034,355.6243,3.953736,-0.08672789,1.407987,-0.1802245,55.80828,38.16622,120.0301,0.06143204,1.417455,-0.1655912,60.02712,318.5476,238.4161,-0.2652676,0.9014533,-0.07124866,358.374,110.3698,162.5059,0.2640215,0.9119175,-0.09359316,1.030258,242.81,191.9161,-0.2639009,1.127683,-0.1320906,5.87398,111.1985,166.1121,0.2506365,1.141619,-0.1375085,7.436177,246.1803,188.536,-0.104247,0.1205091,0.2331999,285.6099,336.3409,187.5203,0.1275598,0.1261715,0.2177205,285.5537,2.688181,181.0271,-0.105418,0.5005335,0.2034024,355.5405,355.9135,180.4947,0.1283749,0.5058894,0.1815534,354.5662,355.5072,180.3035,-0.0889034,0.8921065,0.06763781,340.7858,356.8373,178.7568,0.1137956,0.906495,0.07590362,345.3727,356.4766,182.9098
8,0.001935394,-0.0001502803,0.005178739,0,357.3342,0,-0.01093056,1.481987,-0.1772976,353.1743,355.3912,3.857373,-0.08542246,1.408042,-0.1802581,55.88142,37.6059,119.9785,0.06265409,1.417432,-0.1647555,60.00624,318.233,238.4308,-0.2644559,0.902473,-0.06794923,358.5969,110.4121,161.9622,0.2654366,0.9119157,-0.09219843,1.062631,242.3956,191.8098,-0.2630434,1.128067,-0.1311062,6.105027,111.1735,165.5692,0.2520553,1.14166,-0.1358917,7.475089,245.7527,188.4307,-0.1052585,0.1207417,0.232886,285.6146,336.5215,187.2973,0.1261927,0.1261105,0.2176376,285.5943,2.859797,180.7845,-0.1055862,0.5008814,0.2045721,355.7538,356.0365,180.3433,0.1270776,0.5059305,0.1825582,354.7316,355.0221,180.3248,-0.08886117,0.8920135,0.06756817,340.6027,356.8343,178.7382,0.1137752,0.9065936,0.07695726,345.4018,355.8227,182.898
9,0.002251321,-5.284863E-05,0.005661457,0,357.0038,0,-0.00967411,1.482046,-0.176924,353.7921,355.1777,3.767208,-0.08419278,1.408143,-0.1802817,55.95523,37.07301,119.9131,0.06380326,1.417456,-0.1639845,59.99001,317.9592,238.4563,-0.2636155,0.9035611,-0.06472848,358.808,110.466,161.4439,0.2666935,0.9119666,-0.09094849,1.082497,241.9803,191.7081,-0.2621866,1.128528,-0.1300842,6.322829,111.1628,165.0512,0.2533656,1.141757,-0.1344151,7.501207,245.3244,188.3293,-0.1061453,0.1208717,0.2326307,285.5967,336.7292,187.0466,0.1251547,0.1260679,0.2176611,285.7029,2.954906,180.6586,-0.1055996,0.5010714,0.2051379,355.8676,356.2217,180.1905,0.1260698,0.5059405,0.183159,354.8203,354.6125,180.3497,-0.0888114,0.891986,0.06752219,340.5143,356.9124,178.7081,0.1137622,0.9067367,0.07794373,345.4757,355.248,182.9011
10,0.002664627,0.0001108316,0.006219701,0,356.5716,0,-0.008053768,1.482171,-0.1764511,354.6096,354.8947,3.652524,-0.08259989,1.40832,-0.1803337,56.06019,36.35214,119.806,0.06528419,1.417542,-0.1630017,59.97458,317.6193,238.5059,-0.2624221,0.9051716,-0.06030779,359.0914,110.556,160.7431,0.2682029,0.9120948,-0.08943535,1.089889,241.3832,191.5642,-0.2610104,1.129258,-0.1286239,6.613492,111.1638,164.3497,0.255024,1.141961,-0.1325453,7.517322,244.7087,188.1845,-0.1073102,0.120996,0.232308,285.5665,336.9753,186.7401,0.1238045,0.1260243,0.2178231,285.8275,3.098326,180.4661,-0.1055286,0.5012366,0.2054424,355.9497,356.5235,179.9776,0.1248231,0.5059186,0.1835634,354.8585,354.0799,180.3786,-0.08876844,0.8920236,0.06746147,340.4649,357.0856,178.6568,0.1137156,0.9069825,0.07923828,345.6259,354.507,182.9096
