Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,0,0,0,0,0,0,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,0,0,0,0,0,0,-0.1725185,1.287176,-0.1263897,358.6802,3.916696,17.23276,-0.2222048,1.196642,-0.1300376,56.49812,71.67631,171.7191,-0.08025104,1.242507,-0.1308604,76.92883,33.45076,308.6275,-0.7932035,1.078535,-0.2384629,67.5067,117.932,183.8754,0.4080317,1.53166,0.01499454,41.02994,158.2435,97.4305,-0.5626794,1.111843,-0.2636179,80.82574,123.4336,206.9073,0.2496855,1.428149,-0.1231453,43.44613,111.0867,52.5083,0.3000034,0.1447707,0.4275111,313.3015,20.16696,174.3952,0.1727424,0.204877,-0.1566454,358.8224,52.95445,184.5956,0.125999,0.4769979,0.3592807,341.3434,15.47049,203.0909,0.3421585,0.4000611,0.1238824,56.69324,56.10721,201.2726,-0.06986804,0.6883516,0.06095206,307.5545,353.6661,213.2778,0.1213948,0.7306456,0.006253021,329.1502,24.07652,201.7428
3,-0.001209924,0.0008212817,-0.0009169664,0,0.1114789,0,-0.170647,1.289597,-0.1272319,358.7659,3.426093,16.17426,-0.2215234,1.199635,-0.1314121,57.37513,71.24496,171.0415,-0.07902186,1.243777,-0.1312918,77.11037,33.34392,308.9553,-0.7953069,1.077688,-0.2063821,71.10658,116.6849,178.354,0.4062226,1.525222,0.02378691,40.92974,150.8781,94.91841,-0.5686387,1.112111,-0.2545499,81.45949,110.4359,188.3466,0.251271,1.428785,-0.123048,44.22613,110.4552,54.93446,0.2999111,0.1444988,0.427302,313.3322,20.19998,174.3961,0.1727154,0.2049114,-0.1568441,358.8465,52.94702,184.6094,0.1249205,0.4752722,0.3546725,340.5472,15.52857,203.0351,0.3423014,0.4026897,0.1217576,56.23996,56.21016,201.0855,-0.07316714,0.6889601,0.05948969,307.7352,354.8293,212.6687,0.1177503,0.7302535,0.002853614,328.455,24.41426,202.0043
4,-0.006390346,0.01100484,-0.01074637,0,0.4072124,0,-0.1665841,1.307283,-0.1353706,358.9745,3.082462,13.92518,-0.2206847,1.219179,-0.1395753,59.2243,70.94426,169.915,-0.07670187,1.258216,-0.1399996,78.182,27.25325,302.9431,-0.7917692,1.083923,-0.1516477,71.95829,98.01083,152.4809,0.407973,1.511039,0.03947938,41.16449,146.9874,98.29695,-0.5792893,1.12638,-0.2407164,78.55859,88.32341,156.0107,0.2589705,1.43337,-0.1237273,46.42133,110.7205,61.25002,0.2882355,0.1391424,0.4219088,313.1085,17.84074,175.4742,0.1728887,0.2036998,-0.1572599,358.8352,52.90207,184.6683,0.1136883,0.4633584,0.323293,336.9005,14.14724,202.3819,0.3334814,0.417845,0.114487,53.40628,54.55919,199.6512,-0.08271187,0.699541,0.04458367,310.7724,358.6166,209.3143,0.108119,0.7422785,-0.01126724,327.5905,23.78639,202.0302
5,-0.01079509,0.02070906,-0.02002966,0,0.629419,0,-0.1637104,1.322654,-0.1432883,359.139,3.081815,12.36841,-0.2202263,1.236096,-0.1471463,60.50983,70.96992,169.2651,-0.07522354,1.271119,-0.148805,78.99397,20.22544,295.6826,-0.7837764,1.09007,-0.1185876,68.18121,86.7968,136.9628,0.4095636,1.499878,0.04827873,41.37575,148.1033,103.4384,-0.5852682,1.139906,-0.232581,74.85821,83.43013,144.5257,0.2651442,1.436485,-0.1249116,48.08203,111.5772,66.1034,0.2782982,0.1412387,0.4199919,312.1965,15.3232,177.0478,0.1725824,0.2022147,-0.1567152,358.8344,52.89465,184.6154,0.1030226,0.4562084,0.2959746,333.1103,12.78205,202.113,0.3239883,0.4306608,0.1085831,50.86547,52.9152,198.3909,-0.09019543,0.7092959,0.03017847,313.2529,0.9651863,207.0639,0.1007929,0.7540808,-0.0234873,327.1812,22.92537,201.8248
6,-0.0186452,0.03479145,-0.03299629,0,0.3282964,0,-0.1613906,1.34392,-0.1526283,359.7359,2.445385,10.78041,-0.2202656,1.259022,-0.1575418,61.95574,71.44509,169.6748,-0.07433672,1.289985,-0.1586353,80.40675,6.452954,282.2109,-0.7701969,1.098264,-0.0904289,63.90761,89.69621,134.0051,0.4136362,1.481976,0.05571017,42.67031,149.022,109.3597,-0.5901093,1.156525,-0.2284786,71.29398,86.78619,140.8437,0.2737158,1.43791,-0.1269126,51.16588,113.6938,72.54278,0.2399613,0.145734,0.4238825,313.2447,4.829931,188.7959,0.1619383,0.2024485,-0.1700982,355.3444,47.00959,183.1596,0.08350033,0.4574155,0.2699911,328.8194,14.7303,197.1161,0.3036295,0.4402425,0.09233683,49.81973,47.60326,194.9295,-0.09890783,0.7237688,0.009573385,313.4181,7.299475,200.882,0.09245285,0.7714975,-0.04007838,328.6995,21.81571,200.7456
7,-0.02631523,0.04854622,-0.04566041,0,0.03385379,0,-0.1592752,1.364175,-0.161237,0.3091612,1.835768,9.201845,-0.2204322,1.280989,-0.167173,63.38709,72.01741,170.169,-0.07370274,1.307919,-0.1678078,81.12706,349.6311,265.6475,-0.7522485,1.10698,-0.06370038,59.65184,93.12143,131.546,0.4147439,1.46335,0.06182145,43.99706,150.3694,115.4366,-0.5936273,1.172293,-0.2232535,67.76115,90.4006,137.4443,0.280969,1.438159,-0.1288097,54.10137,116.4647,79.43154,0.2109281,0.1556143,0.4222379,315.0099,355.4898,201.5077,0.1498327,0.2029032,-0.1826703,351.6414,41.52151,181.9237,0.06407116,0.4589184,0.2440596,324.7449,17.70094,192.9969,0.2829626,0.4494596,0.07613634,48.69469,42.61673,191.6869,-0.1077154,0.7378874,-0.01030199,314.1466,13.48343,195.0563,0.08396323,0.7883247,-0.05588277,330.2076,20.77106,199.6267
8,-0.03237119,0.06106225,-0.06127858,0,359.4686,0,-0.157545,1.38315,-0.1691416,1.185644,0.9194234,7.77303,-0.2202908,1.301228,-0.1773552,64.23115,73.87196,172.5415,-0.07308577,1.325403,-0.1761706,81.45686,327.5621,243.9361,-0.732596,1.11517,-0.04692812,57.98833,99.7731,132.2172,0.415567,1.441664,0.06394327,47.93548,151.4197,121.1035,-0.5941888,1.185312,-0.2224477,65.63602,95.60428,136.5332,0.2886254,1.43459,-0.1327959,58.33492,120.0236,86.7023,0.1871488,0.1595133,0.4004385,313.1462,353.8116,207.64,0.1406478,0.2021829,-0.2027642,347.4593,35.11992,181.0865,0.04895919,0.4629509,0.2156761,323.4193,24.22436,187.5691,0.2628187,0.455676,0.0547432,47.72924,37.3034,188.8798,-0.1150277,0.7516268,-0.03293744,315.0572,18.72603,190.4866,0.07728729,0.8031787,-0.07440531,332.1186,19.5768,198.4987
9,-0.03922072,0.0752821,-0.07915948,0,358.8174,0,-0.1554994,1.40432,-0.1776055,2.173518,359.8671,6.097233,-0.2200152,1.323949,-0.1884459,65.14823,76.19774,175.4841,-0.07234856,1.344911,-0.1852311,80.34913,304.0806,220.8051,-0.7066141,1.125373,-0.03001007,56.23244,106.7153,132.1988,0.4133644,1.416488,0.06435246,52.55352,154.393,128.6105,-0.5932524,1.199548,-0.2211403,63.26999,100.8411,134.7429,0.2959848,1.429343,-0.1379526,62.89058,126.2859,96.91687,0.1637335,0.1646959,0.3722916,311.7058,352.175,215.2296,0.1285965,0.2018238,-0.225493,342.3605,28.10289,180.3337,0.03170882,0.4680405,0.1829257,322.7603,32.14828,181.6563,0.2393751,0.4629634,0.02951442,46.52311,31.35854,185.7336,-0.1233477,0.7674462,-0.05862731,316.5052,24.45581,185.693,0.06966709,0.8200064,-0.09530082,334.3201,18.24786,197.1279
10,-0.04474705,0.08576183,-0.0968949,0,358.1228,0,-0.1550313,1.420145,-0.1861811,3.233989,358.7615,5.478844,-0.2200828,1.340614,-0.1998574,64.84936,78.97565,178.5334,-0.07229738,1.360201,-0.194293,79.69872,290.4112,207.4438,-0.6835014,1.121611,-0.02001338,53.86088,111.1257,131.2764,0.4148878,1.385755,0.06192368,56.94702,159.6947,136.6839,-0.5889699,1.20152,-0.2189152,60.38767,104.2539,133.6533,0.3042962,1.417245,-0.1421557,67.13272,137.2176,110.2392,0.1338509,0.1566384,0.3199355,311.4232,351.7672,215.4599,0.1289093,0.198157,-0.2388856,340.0794,23.04185,180.4046,0.0186827,0.483788,0.1617673,329.6497,24.31196,185.9986,0.2216348,0.4703855,0.01169005,44.27258,26.92349,184.6293,-0.132189,0.7798623,-0.08645003,316.9615,13.42696,192.4063,0.06224946,0.830397,-0.1181073,334.817,16.28226,196.3358
