Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,0,0,0,0,0,0,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,0,0,0,0,0,0,-0.01307232,1.347194,-0.1707115,1.12289,326.3938,352.5297,-0.08938945,1.276928,-0.1714526,71.25886,35.35677,124.5157,0.05978205,1.276563,-0.1731498,69.76182,325.5814,252.3835,-0.3820489,1.296792,0.06342837,12.48103,75.75043,23.51651,0.1419113,1.265289,0.1405485,20.86072,248.5022,327.8586,-0.3734808,1.088561,-0.04357568,7.906923,69.79283,26.18499,0.230662,1.079554,0.02876125,13.45894,249.6978,324.6171,-0.2740646,0.126336,0.2777044,286.0425,11.97513,174.4282,0.2967938,0.08491635,-0.04553974,287.6308,51.19283,182.7497,-0.1708882,0.4836612,0.3612576,14.53061,5.232413,165.5491,0.3178659,0.4184014,0.1384119,22.30009,48.9146,199.0982,-0.1056942,0.7550218,0.05442316,314.0732,14.68483,160.1487,0.09372441,0.7448777,0.01580255,327.9384,24.49028,201.6803
3,-0.002232165,-0.0006927295,0.004418111,0,0.05375359,0,-0.01537361,1.347005,-0.1648057,0.989632,326.3293,352.441,-0.09175882,1.276813,-0.1656997,71.43469,35.79953,124.9576,0.05741122,1.27629,-0.1674816,69.89073,324.9989,251.633,-0.3847608,1.2923,0.07184038,12.3932,76.1516,24.81919,0.1368619,1.261382,0.1473383,20.74623,247.7665,326.8476,-0.3749999,1.086443,-0.03956635,7.952881,70.09143,27.47178,0.2271481,1.077845,0.03317602,13.36449,249.0937,323.6428,-0.2735745,0.1269212,0.2788536,286.6608,11.17742,175.0405,0.2959829,0.0840401,-0.04534776,287.6299,51.2223,182.7491,-0.1709356,0.4834562,0.3663519,15.14248,5.226325,165.6864,0.3150374,0.4166899,0.1403283,22.27466,48.97189,199.5378,-0.1084339,0.7544449,0.05862977,313.9182,14.85228,160.3771,0.09096622,0.7440545,0.01997932,328.3076,24.38517,201.8654
4,-0.002232165,-0.0006927295,0.004418111,0,0.05375359,0,-0.01537361,1.347005,-0.1648057,0.989632,326.3293,352.441,-0.09175882,1.276813,-0.1656997,71.43469,35.79953,124.9576,0.05741122,1.27629,-0.1674816,69.89073,324.9989,251.633,-0.3847608,1.2923,0.07184038,12.3932,76.1516,24.81919,0.1368619,1.261382,0.1473383,20.74623,247.7665,326.8476,-0.3749999,1.086443,-0.03956635,7.952881,70.09143,27.47178,0.2271481,1.077845,0.03317602,13.36449,249.0937,323.6428,-0.2735745,0.1269212,0.2788536,286.6608,11.17742,175.0405,0.2959829,0.0840401,-0.04534776,287.6299,51.2223,182.7491,-0.1709356,0.4834562,0.3663519,15.14248,5.226325,165.6864,0.3150374,0.4166899,0.1403283,22.27466,48.97189,199.5378,-0.1084339,0.7544449,0.05862977,313.9182,14.85228,160.3771,0.09096622,0.7440545,0.01997932,328.3076,24.38517,201.8654
5,-0.006835341,-0.002673611,0.01360125,0,0.1313804,0,-0.01973586,1.345295,-0.1533851,0.630496,326.1469,352.2533,-0.09633701,1.275369,-0.154568,71.74589,36.22821,125.4675,0.05283028,1.274304,-0.1563387,69.96722,323.5822,250.0108,-0.3911137,1.282907,0.08680443,12.38766,76.58586,27.25964,0.1262559,1.253605,0.1605431,20.60547,246.3347,325.2627,-0.37916,1.081827,-0.03280945,8.204438,70.33689,29.86596,0.2197275,1.073656,0.04327402,13.25864,247.8667,322.1151,-0.2729546,0.131228,0.2830499,289.0609,5.583671,180.4751,0.2943349,0.08201565,-0.04535064,287.638,51.18633,182.8255,-0.1707796,0.4853985,0.3801649,16.64527,5.145718,165.8707,0.3099709,0.4128791,0.1438039,22.2598,49.20344,200.4035,-0.1143449,0.7521375,0.0675957,312.9873,15.47907,160.5945,0.08495051,0.7414066,0.02850061,328.9536,24.32701,202.3351
6,-0.009365116,-0.004424001,0.01910027,0,0.1772486,0,-0.02165433,1.342983,-0.1473006,0.3551066,325.9831,352.1475,-0.09845515,1.273333,-0.1485972,71.87878,35.97442,125.34,0.05070892,1.271719,-0.1502176,69.80888,322.5392,248.9796,-0.3954653,1.276889,0.09335427,12.59536,76.45727,28.54488,0.1197754,1.249284,0.1678242,20.60947,245.5054,324.7805,-0.3823324,1.078526,-0.03059356,8.549915,70.1086,31.10339,0.2151866,1.070485,0.05035747,13.27346,247.0986,321.6512,-0.2734963,0.1368051,0.2867984,291.9893,0.8854354,185.1401,0.2933048,0.08062641,-0.04606993,287.7001,51.2853,182.7302,-0.1703863,0.4885909,0.3913111,17.8267,5.015363,165.7893,0.308199,0.4103567,0.1451122,22.33028,49.52229,200.849,-0.1179006,0.749819,0.07344425,311.9645,16.24851,160.3715,0.08119939,0.7387802,0.03344963,329.1773,24.57592,202.7022
7,-0.01120452,-0.005871137,0.02324492,0,0.2146268,0,-0.02292178,1.340941,-0.1428596,0.1349085,325.8472,352.0706,-0.09988812,1.271525,-0.144225,71.96606,35.66339,125.1411,0.04927166,1.269446,-0.145704,69.63918,321.7226,248.2014,-0.3988595,1.272209,0.09772883,12.79969,76.27641,29.4815,0.1148494,1.246107,0.1731786,20.63586,244.8844,324.5208,-0.3848218,1.0759,-0.02935184,8.855755,69.85561,31.9988,0.2117377,1.067949,0.0559475,13.30552,246.5102,321.4018,-0.2741235,0.1417969,0.2898005,294.6061,357.8227,188.1541,0.2924601,0.07955334,-0.04682418,287.7683,51.40517,182.6096,-0.1699701,0.4914553,0.4002486,18.78468,4.892788,165.6691,0.3071551,0.4083984,0.1458919,22.40737,49.8101,201.1674,-0.1205661,0.7478676,0.07799703,311.1053,16.93913,160.1042,0.07834748,0.7365509,0.03716121,329.3075,24.83802,202.9983
8,-0.01316333,-0.007779822,0.02781846,0,0.3441767,0,-0.02403848,1.337781,-0.1385874,359.8637,325.704,352.0094,-0.1013022,1.268762,-0.1398507,72.0207,34.83646,124.4157,0.04784538,1.265902,-0.1412586,69.30044,320.9817,247.4883,-0.4030088,1.267095,0.1008023,13.24803,75.82523,30.32514,0.1097393,1.242613,0.1786589,20.66264,244.3226,324.451,-0.3883403,1.072759,-0.02920561,9.39486,69.33559,32.77466,0.207851,1.064629,0.06218451,13.32579,245.9621,321.338,-0.2755219,0.1490033,0.2942165,297.4488,355.4491,190.7631,0.292332,0.07889588,-0.04797282,287.759,51.27978,182.8625,-0.1696206,0.4958201,0.411736,19.97789,4.866104,165.4833,0.3073421,0.4066509,0.1465673,22.48959,50.3507,201.5668,-0.1235464,0.7452712,0.08358136,309.9438,17.99142,159.5112,0.07499394,0.7333848,0.04112337,329.2034,25.34172,203.4326
9,-0.01508251,-0.009655821,0.03230205,0,0.4725979,0,-0.02513351,1.334638,-0.1343755,359.5947,325.5646,351.9514,-0.1026895,1.266013,-0.1355339,72.06851,34.00777,123.6856,0.04644183,1.262381,-0.1368724,68.96078,320.2825,246.8163,-0.4070942,1.262074,0.1037491,13.6882,75.38318,31.14565,0.1047187,1.239208,0.1840205,20.69894,243.7809,324.3925,-0.3917431,1.069702,-0.02907081,9.924045,68.8271,33.52782,0.2040275,1.061376,0.06832984,13.35537,245.4328,321.2854,-0.276755,0.1563125,0.2984493,300.2747,353.5269,192.8833,0.2920738,0.07828595,-0.04920838,287.7601,51.15195,183.1238,-0.1691535,0.5001878,0.422866,21.15128,4.835558,165.3,0.3074743,0.4049295,0.1471621,22.57754,50.8917,201.9629,-0.1264667,0.7427018,0.08910123,308.8097,19.0618,158.895,0.07169066,0.730256,0.04504452,329.1036,25.84006,203.8614
10,-0.01808346,-0.01236631,0.03827732,0,0.8653098,0,-0.02775056,1.329944,-0.1290867,359.2777,325.3869,351.9397,-0.105662,1.261799,-0.1296987,72.04752,33.02679,122.6091,0.04343824,1.257233,-0.1315535,68.44759,319.7556,246.0736,-0.4122678,1.255752,0.1077243,14.39421,74.93691,31.86424,0.09864153,1.234319,0.190457,20.62407,243.4058,324.3416,-0.3971468,1.065248,-0.027786,10.70658,68.31579,34.14896,0.1985398,1.056565,0.07515508,13.28323,245.0603,321.2329,-0.2797792,0.1661867,0.3038272,303.7147,352.3141,194.8439,0.29233,0.07831124,-0.05098177,287.7458,50.75219,183.7036,-0.169296,0.5055701,0.4376937,22.85597,5.039333,165.0564,0.3090193,0.4035148,0.1476603,22.69175,51.79091,202.4662,-0.1304829,0.7391211,0.09713295,307.4459,20.66016,157.8361,0.0669947,0.7257272,0.05038419,328.7207,26.7328,204.5734
